"","subject","exercise","fbodyacceljerkmeanx","fbodyacceljerkmeany","fbodyacceljerkmeanz","fbodyacceljerkstandarddeviationx","fbodyacceljerkstandarddeviationy","fbodyacceljerkstandarddeviationz","fbodyaccelmagnitudemean","fbodyaccelmagnitudestandarddeviation","fbodyaccelmeanx","fbodyaccelmeany","fbodyaccelmeanz","fbodyaccelstandarddeviationx","fbodyaccelstandarddeviationy","fbodyaccelstandarddeviationz","fbodybodyacceljerkmagnitudemean","fbodybodyacceljerkmagnitudestandarddeviation","fbodybodygyrojerkmagnitudemean","fbodybodygyrojerkmagnitudestandarddeviation","fbodybodygyromagnitudemean","fbodybodygyromagnitudestandarddeviation","fbodygyromeanx","fbodygyromeany","fbodygyromeanz","fbodygyrostandarddeviationx","fbodygyrostandarddeviationy","fbodygyrostandarddeviationz","tbodyacceljerkmagnitudemean","tbodyacceljerkmagnitudestandarddeviation","tbodyacceljerkmeanx","tbodyacceljerkmeany","tbodyacceljerkmeanz","tbodyacceljerkstandarddeviationx","tbodyacceljerkstandarddeviationy","tbodyacceljerkstandarddeviationz","tbodyaccelmagnitudemean","tbodyaccelmagnitudestandarddeviation","tbodyaccelmeanz","tbodyaccelstandarddeviationx","tbodyaccelstandarddeviationy","tbodyaccelstandarddeviationz","tbodygyrojerkmagnitudemean","tbodygyrojerkmagnitudestandarddeviation","tbodygyrojerkmeanx","tbodygyrojerkmeany","tbodygyrojerkmeanz","tbodygyrojerkstandarddeviationx","tbodygyrojerkstandarddeviationy","tbodygyrojerkstandarddeviationz","tbodygyromagnitudemean","tbodygyromagnitudestandarddeviation","tbodygyromeanx","tbodygyromeany","tbodygyromeanz","tbodygyrostandarddeviationx","tbodygyrostandarddeviationy","tbodygyrostandarddeviationz","tgravityaccelmagnitudemean","tgravityaccelmagnitudestandarddeviation","tgravityaccelmeanx","tgravityaccelmeany","tgravityaccelmeanz","tgravityaccelstandarddeviationx","tgravityaccelstandarddeviationy","tgravityaccelstandarddeviationz"
"1",1,"LAYING",-0.69752559626,-0.71112486906,-0.68855770854,-0.71075354814,-0.71419832642,-0.73566324394,-0.80185764014,-0.79337654456,-0.65182279057,-0.649897206048,-0.6456116642,-0.642417171724,-0.643175962454,-0.67354850898,-0.723280052392,-0.740911801358,-0.690584923694,-0.6313772747726,-0.7708613911898,-0.758931891362,-0.73788675672,-0.76644101746,-0.735451606828,-0.77652912832,-0.78257143094,-0.78372253786,-0.64008910974,-0.64140860684,-0.694523148406,-0.7314198766,-0.71751837712,-0.74879116166,-0.75460306356,-0.762848583886,-0.643607611,-0.62270368904,-0.645296894706,-0.650302975086,-0.652529301268,-0.632948281184,-0.6653983762434,-0.674841372748,-0.78849062702,-0.7804193786326,-0.709952461418,-0.67058473466,-0.70812807166,-0.71209751626,-0.631209977044,-0.640811030168,-0.7846403474232,-0.803017792108,-0.8107926163,-0.8095577226206,-0.783553593896,-0.80455885964,-0.648830939,-0.684693348942,-0.615813651328,-0.627525706802,-0.649617097992,-0.65540664502,-0.644650216558,-0.66423151552
"2",1,"SITTING",-0.804971526440426,-0.783585772055319,-0.782918593824894,-0.757735613270213,-0.736197361208511,-0.701534148508511,-0.662124670691489,-0.65045843913617,-0.879156522423404,-0.875048249297872,-0.841995537991489,-0.847160072106383,-0.864632917568085,-0.842724627449574,-0.688361467948936,-0.678707863095745,-0.765523272234043,-0.813353508234043,-0.689283846419149,-0.695713348197872,-0.683280792580851,-0.663193571295745,-0.670658397465957,-0.660348600957447,-0.642591593251064,-0.655858626710638,-0.791025633744681,-0.836562036893617,-0.793120431489362,-0.763505098255319,-0.738639147617021,-0.724504194978723,-0.725738033276596,-0.710256204489362,-0.767030964510638,-0.787779004297872,-0.781147406787234,-0.766661480489362,-0.806083305085106,-0.828629078893617,-0.842454953914894,-0.847549620553191,-0.630170778391489,-0.653159335182979,-0.697631142904255,-0.701125150985106,-0.685131846021277,-0.672234048073617,-0.861925728042553,-0.850003586174468,-0.673348270510638,-0.646169745665957,-0.655254478331915,-0.658781688223404,-0.636981937885106,-0.633735168734043,-0.76684060217234,-0.751755265240426,-0.883109158085106,-0.858730693234042,-0.807627644021277,-0.815705438212766,-0.867021767702128,-0.856357211255319
"3",1,"STANDING",-0.788931038339623,-0.790395636509434,-0.772758039641509,-0.75367782190566,-0.772407998301887,-0.775538955967925,-0.77739032354717,-0.810741968624528,-0.768297310867925,-0.794152359735849,-0.792434639962264,-0.765654474584906,-0.752739234226415,-0.769238716716981,-0.809635155867925,-0.790076093313207,-0.789832638362264,-0.790640232916981,-0.769500138671321,-0.790867320584906,-0.772650520509434,-0.761262623111321,-0.767873457801887,-0.770481195871698,-0.772235666301887,-0.758982573377359,-0.772875810777358,-0.774113162981132,-0.810592848381132,-0.791552491330189,-0.773246342803774,-0.7885961171,-0.807506363564151,-0.808907191509434,-0.792700663226415,-0.792178145003774,-0.794202942663962,-0.773279609232321,-0.770777043254717,-0.756805717982736,-0.768507994037547,-0.750098117873585,-0.786918367924528,-0.785636517733962,-0.786625394169811,-0.765422410613208,-0.775127167577358,-0.793266323069811,-0.791992994003774,-0.774539823773585,-0.787375459941509,-0.788334625298113,-0.787975924124528,-0.78996216146283,-0.785705506654717,-0.769590127886792,-0.790529722764113,-0.775782818842075,-0.775960061398113,-0.773304861552264,-0.772408458207547,-0.751423867096226,-0.754091689103774,-0.77100207669434
"4",1,"WALKING",-0.213922540929474,-0.199462046470526,-0.220481864985263,-0.203852906653684,-0.227857508410526,-0.233868578636842,-0.224875529243158,-0.212509705365263,-0.194543501486421,-0.178625176673684,-0.182394637402105,-0.174293179253368,-0.184134941552632,-0.218709782534737,-0.207388698234737,-0.235217582402105,-0.192493403074737,-0.201701535962737,-0.222602486889895,-0.211913686926316,-0.23667355692,-0.22851131398,-0.237458543570526,-0.248856842168421,-0.249517488210526,-0.217826833434737,-0.204024623258947,-0.195798002252632,-0.171475102641158,-0.199260052688421,-0.198185551689695,-0.182341086284211,-0.192923807058947,-0.18684594642,-0.225950655936842,-0.213313458236842,-0.209384104463158,-0.203331222967368,-0.180353778589474,-0.191806903389474,-0.195076185962105,-0.192552437446316,-0.213344941373684,-0.209489437111579,-0.204120953891579,-0.210576808873684,-0.193879217652632,-0.207109915518947,-0.190871874673684,-0.191474601064211,-0.190488631708421,-0.191813898694211,-0.199256965771579,-0.198845183547368,-0.203870670141053,-0.197573282104211,-0.206565352764211,-0.198905260097895,-0.194715330823158,-0.189457087365263,-0.191990019788421,-0.177596036818947,-0.174362178641053,-0.172824285614947
"5",1,"WALKING_DOWNSTAIRS",-0.18728628884898,-0.168151734244898,-0.183987026612245,-0.188646026455102,-0.180909234108163,-0.149679351818367,-0.102151920918367,-0.0952201697020408,-0.226483978,-0.244650771095918,-0.213925541330612,-0.175587890353061,-0.21018406454898,-0.212473653141408,-0.103416814530612,-0.109212022934694,-0.0744285739373469,-0.0982521570755102,-0.0950041909959184,-0.049913150755102,-0.178391232207143,-0.137023892961224,-0.132883072681633,-0.163552860102041,-0.136517239413265,-0.116056375846939,-0.223812790753061,-0.205017383881633,-0.167606554297959,-0.183034047120408,-0.150586872742449,-0.170915106132653,-0.155362575142857,-0.138966064334694,-0.198870644283673,-0.175242953214286,-0.0888883424122449,-0.0838345726408163,-0.102507119560816,-0.0980982314489796,-0.182821613032653,-0.206310057867347,-0.155613954638776,-0.137220546397959,-0.1877423616,-0.185051847328571,-0.170825764077551,-0.18999213072449,-0.239097862589796,-0.231064629607551,-0.143190466367347,-0.14526135345102,-0.157711648586531,-0.151540843202041,-0.17935668577551,-0.141523926469388,-0.228475110708163,-0.212969104910204,-0.122554966816327,-0.145101783179592,-0.129687712842857,-0.143011976710204,-0.130504698055102,-0.143536612369388
"6",1,"WALKING_UPSTAIRS",-0.275074495301887,-0.268344543086792,-0.28478495890566,-0.297241104320755,-0.307723860418868,-0.315286892198113,-0.359888507064151,-0.385825739188679,-0.314845421358491,-0.292460239056604,-0.28755569854717,-0.322649200943396,-0.302114296167925,-0.283241763113208,-0.351932676849057,-0.35707571809434,-0.380924837892453,-0.400177180509434,-0.387262496903774,-0.368444746293774,-0.297709187503774,-0.298295869811321,-0.298630835433962,-0.308772686801887,-0.310507492681132,-0.344864169803774,-0.347406202496226,-0.330702545641509,-0.351904956203774,-0.308342631566038,-0.316922639318868,-0.311498101528302,-0.305884972633962,-0.341088007562264,-0.31419745179434,-0.314306459792453,-0.389546815558491,-0.410394505018868,-0.410775091392453,-0.379174245056604,-0.31485229119434,-0.315667506188679,-0.309677484113208,-0.329239750620755,-0.323172718773585,-0.322702827150943,-0.306966903886792,-0.312083978267925,-0.303209170171698,-0.33060530645283,-0.329561140150943,-0.315819092386792,-0.318687555103774,-0.306983689024528,-0.30178134980566,-0.320141517671698,-0.305749006830189,-0.357471486441509,-0.360595270283019,-0.357742043,-0.331112237283019,-0.347909370773585,-0.346103609226415,-0.3421233457
"7",2,"LAYING",-0.7827244568125,-0.756480983479167,-0.750247013916667,-0.746708253083333,-0.759453798958333,-0.7812093100625,-0.79590041575,-0.7883146111875,-0.742195536975,-0.74324863841875,-0.7288274985,-0.739646377375,-0.739887636958333,-0.762777232125,-0.8072860796875,-0.78283808615,-0.773927985416667,-0.7808777169,-0.774542785577083,-0.779246216208333,-0.752041862583333,-0.754470985375,-0.761424311345833,-0.8013407823125,-0.824851949625,-0.79818854575,-0.73125894619375,-0.745472838497917,-0.795899856679167,-0.777513605770833,-0.7744008155375,-0.77141424896875,-0.7913043703875,-0.807219545292917,-0.782481988775,-0.76452119449375,-0.764588924245833,-0.766215108316667,-0.767652295352083,-0.762101002670833,-0.745610379614583,-0.743247523616667,-0.805077360510417,-0.824581183864583,-0.820693585839583,-0.763271367233333,-0.761433603931458,-0.7652970774375,-0.7366620017375,-0.744695181585417,-0.802620887064583,-0.805757055166667,-0.800740392883333,-0.822993766479167,-0.80546210316875,-0.806136710104167,-0.733571022375833,-0.728331933354167,-0.739810087458333,-0.7496009206625,-0.748627510333333,-0.746922808879167,-0.74425556950625,-0.753476533110417
"8",2,"SITTING",-0.727564453211087,-0.728209574221739,-0.715735664478261,-0.713784463576956,-0.734006570180435,-0.73011773871087,-0.810391401086957,-0.798655593871739,-0.786121493047826,-0.78663726541087,-0.745688070691304,-0.736633883434783,-0.743539853723913,-0.741047202736957,-0.799155357021739,-0.832594279523913,-0.794797202471739,-0.811921962478261,-0.833512664582609,-0.803630226715217,-0.750897858347826,-0.747890698466087,-0.746394483180435,-0.732129573591304,-0.743817183478261,-0.814897972554348,-0.784703051947826,-0.745906410108696,-0.747840573130435,-0.727175916282609,-0.726147776145652,-0.718137454226304,-0.73083857735,-0.726602085934783,-0.768599900847826,-0.792854096021739,-0.843371977293478,-0.811974625526087,-0.782506298158696,-0.7665411035,-0.781788793910217,-0.754081297793478,-0.758358769717391,-0.7329810015,-0.737687989769565,-0.800339028608696,-0.800299479891304,-0.779448793956522,-0.765057114241174,-0.770236798353261,-0.726432216976087,-0.7234484865,-0.736639040304348,-0.738534765726087,-0.768211104369565,-0.76229813926087,-0.820035111391304,-0.801164359513043,-0.776923662115217,-0.78376806576087,-0.770765975630435,-0.749859017108696,-0.746466583347826,-0.759492275667391
"9",2,"STANDING",-0.732867958694444,-0.746532839537037,-0.745461809092593,-0.740269879833519,-0.710690037955556,-0.719757288590741,-0.744590723368519,-0.764911711751852,-0.789461207553704,-0.783206219238889,-0.795100220518518,-0.79516023555,-0.797742017903704,-0.767233615664815,-0.761969780796296,-0.769029318018518,-0.80096298237037,-0.799478495777778,-0.764564733351852,-0.787118434796296,-0.727188099494444,-0.72840429637963,-0.728920091742593,-0.746951828196296,-0.749494228438889,-0.751890353614815,-0.799969865207407,-0.834269986555556,-0.751115259490741,-0.784328802196296,-0.780151127398148,-0.76329217312963,-0.724916443948148,-0.739478334497037,-0.782183277148148,-0.785267324714815,-0.763510384455741,-0.774596802951852,-0.804711973648148,-0.817909023777778,-0.813515927018518,-0.82588523237037,-0.723709917266667,-0.750589539648148,-0.752050612359259,-0.755940578277778,-0.748701359643148,-0.772005901907407,-0.805473985975926,-0.808804335440741,-0.744851879427778,-0.743829129833333,-0.720830181185185,-0.718628556151852,-0.728968350018519,-0.727865534885185,-0.763377673518518,-0.785723766483333,-0.787747827351852,-0.791145474353704,-0.793336198685185,-0.812952671148148,-0.798884277288889,-0.768049774733333
"10",2,"WALKING",-0.358743895118644,-0.369931200016949,-0.387974724762712,-0.373541269569492,-0.375520439,-0.375095399474576,-0.376609641525424,-0.346535264220339,-0.338473267288136,-0.353975111728814,-0.334369300755932,-0.346245687284746,-0.364775882552542,-0.334845194227119,-0.326026838016949,-0.351433113423729,-0.34953098429322,-0.345137792067797,-0.355714311813559,-0.371282180833051,-0.358249601738983,-0.337358708745763,-0.35636088861017,-0.353829722152542,-0.357523341759322,-0.352259188,-0.329555811862712,-0.308780561694915,-0.306257121915254,-0.327216146644068,-0.328595197501695,-0.335081382338983,-0.335642383338983,-0.308953983559322,-0.341576009728814,-0.314424918083051,-0.37277488800339,-0.364293261915254,-0.360379263118644,-0.346780385016949,-0.331014593067797,-0.323097618669492,-0.329776331847458,-0.310889126542373,-0.304131060322034,-0.323869110949153,-0.329309646152542,-0.362279437049831,-0.330416961813559,-0.327000843016949,-0.324249699525424,-0.315068202813559,-0.306843056463898,-0.294356319381356,-0.301169107177966,-0.3158656603,-0.332851008522712,-0.336952734135593,-0.332254628228814,-0.332272716372881,-0.343897033508475,-0.331672668118644,-0.343849860762712,-0.322671599372881
